Score: 91.0, Count: 12
Score: 90.0, Count: 2
Score: 89.0, Count: 18
Score: 88.0, Count: 10
Score: 87.0, Count: 10
Score: 86.0, Count: 1
Score: 85.0, Count: 7
Score: 84.0, Count: 36
Score: 83.0, Count: 75
Score: 82.0, Count: 68
Score: 81.0, Count: 84
Score: 80.0, Count: 99
Score: 79.0, Count: 132
Score: 78.0, Count: 206
Score: 77.0, Count: 379
Score: 76.0, Count: 435
Score: 75.0, Count: 608
Score: 74.0, Count: 721
Score: 73.0, Count: 999
Score: 72.0, Count: 1416
Score: 71.0, Count: 1853
Score: 70.0, Count: 2213
Score: 69.0, Count: 2692
Score: 68.0, Count: 3290
Score: 67.0, Count: 3806
Score: 66.0, Count: 4088
Score: 65.0, Count: 4117
Score: 64.0, Count: 3834
Score: 63.0, Count: 3314
Score: 62.0, Count: 2467
Score: 61.0, Count: 1605
Score: 60.0, Count: 853
Score: 59.0, Count: 376
Score: 58.0, Count: 137
Score: 57.0, Count: 34
Score: 56.0, Count: 3
