Score: 91.0, Count: 12
Score: 90.0, Count: 2
Score: 89.0, Count: 18
Score: 88.0, Count: 10
Score: 87.0, Count: 10
Score: 86.0, Count: 1
Score: 85.0, Count: 7
Score: 84.0, Count: 36
Score: 83.0, Count: 75
Score: 82.0, Count: 68
Score: 81.0, Count: 84
Score: 80.0, Count: 99
Score: 79.0, Count: 132
Score: 78.0, Count: 206
Score: 77.0, Count: 379
Score: 76.0, Count: 435
Score: 75.0, Count: 608
Score: 74.0, Count: 721
Score: 73.0, Count: 999
Score: 72.0, Count: 1416
Score: 71.0, Count: 1853
Score: 70.0, Count: 2213
Score: 69.0, Count: 616
