Score: 100.0, Count: 2215
Score: 99.0, Count: 2503
Score: 96.0, Count: 403
Score: 91.0, Count: 4765
Score: 90.0, Count: 726
Score: 89.0, Count: 1822
Score: 88.0, Count: 195
Score: 87.0, Count: 142
Score: 86.0, Count: 36
Score: 85.0, Count: 90
Score: 84.0, Count: 299
Score: 83.0, Count: 402
Score: 82.0, Count: 306
Score: 81.0, Count: 307
Score: 80.0, Count: 212
Score: 79.0, Count: 264
Score: 78.0, Count: 264
Score: 77.0, Count: 405
Score: 76.0, Count: 305
Score: 75.0, Count: 301
Score: 74.0, Count: 304
Score: 73.0, Count: 241
Score: 72.0, Count: 253
Score: 71.0, Count: 251
Score: 70.0, Count: 185
Score: 69.0, Count: 161
Score: 68.0, Count: 125
Score: 67.0, Count: 102
Score: 66.0, Count: 94
Score: 65.0, Count: 40
Score: 64.0, Count: 35
Score: 63.0, Count: 18
Score: 62.0, Count: 12
Score: 61.0, Count: 2
Score: 60.0, Count: 2
