Score: 91.0, Count: 9
Score: 90.0, Count: 4
Score: 89.0, Count: 10
Score: 88.0, Count: 4
Score: 87.0, Count: 9
Score: 86.0, Count: 2
Score: 85.0, Count: 4
Score: 84.0, Count: 36
Score: 83.0, Count: 72
Score: 82.0, Count: 74
Score: 81.0, Count: 76
Score: 80.0, Count: 100
Score: 79.0, Count: 112
Score: 78.0, Count: 208
Score: 77.0, Count: 407
Score: 76.0, Count: 429
Score: 75.0, Count: 647
Score: 74.0, Count: 689
Score: 73.0, Count: 1010
Score: 72.0, Count: 1296
Score: 71.0, Count: 1925
Score: 70.0, Count: 2126
Score: 69.0, Count: 2644
Score: 68.0, Count: 3358
Score: 67.0, Count: 3864
Score: 66.0, Count: 4101
Score: 65.0, Count: 4127
Score: 64.0, Count: 3973
Score: 63.0, Count: 3162
Score: 62.0, Count: 2537
Score: 61.0, Count: 1625
Score: 60.0, Count: 838
Score: 59.0, Count: 372
Score: 58.0, Count: 128
Score: 57.0, Count: 20
Score: 56.0, Count: 2
