Score: 100.0, Count: 8
Score: 99.0, Count: 10
Score: 96.0, Count: 1
Score: 91.0, Count: 191
Score: 90.0, Count: 35
Score: 89.0, Count: 170
Score: 88.0, Count: 93
Score: 87.0, Count: 105
Score: 86.0, Count: 33
Score: 85.0, Count: 76
Score: 84.0, Count: 514
Score: 83.0, Count: 958
Score: 82.0, Count: 971
Score: 81.0, Count: 1130
Score: 80.0, Count: 1128
Score: 79.0, Count: 1468
Score: 78.0, Count: 2624
Score: 77.0, Count: 4766
Score: 76.0, Count: 5359
Score: 75.0, Count: 7840
Score: 74.0, Count: 9289
Score: 73.0, Count: 11908
Score: 72.0, Count: 17731
Score: 71.0, Count: 23652
Score: 70.0, Count: 27664
Score: 69.0, Count: 33529
Score: 68.0, Count: 40675
Score: 67.0, Count: 48002
Score: 66.0, Count: 50095
Score: 65.0, Count: 51393
Score: 64.0, Count: 48319
Score: 63.0, Count: 41394
Score: 62.0, Count: 31033
Score: 61.0, Count: 20339
Score: 60.0, Count: 10911
Score: 59.0, Count: 4683
Score: 58.0, Count: 1489
Score: 57.0, Count: 325
Score: 56.0, Count: 75
Score: 55.0, Count: 11
Score: 54.0, Count: 3
