Score: 100.0, Count: 2
Score: 99.0, Count: 2
Score: 91.0, Count: 15
Score: 90.0, Count: 2
Score: 89.0, Count: 18
Score: 88.0, Count: 5
Score: 87.0, Count: 7
Score: 86.0, Count: 1
Score: 85.0, Count: 3
Score: 84.0, Count: 45
Score: 83.0, Count: 75
Score: 82.0, Count: 85
Score: 81.0, Count: 64
Score: 80.0, Count: 89
Score: 79.0, Count: 109
Score: 78.0, Count: 178
Score: 77.0, Count: 403
Score: 76.0, Count: 452
Score: 75.0, Count: 612
Score: 74.0, Count: 769
Score: 73.0, Count: 927
Score: 72.0, Count: 1437
Score: 71.0, Count: 1955
Score: 70.0, Count: 2167
Score: 69.0, Count: 578
