Score: 100.0, Count: 1
Score: 91.0, Count: 12
Score: 90.0, Count: 1
Score: 89.0, Count: 11
Score: 88.0, Count: 6
Score: 87.0, Count: 5
Score: 86.0, Count: 5
Score: 85.0, Count: 6
Score: 84.0, Count: 47
Score: 83.0, Count: 65
Score: 82.0, Count: 81
Score: 81.0, Count: 96
Score: 80.0, Count: 90
Score: 79.0, Count: 128
Score: 78.0, Count: 211
Score: 77.0, Count: 404
Score: 76.0, Count: 425
Score: 75.0, Count: 653
Score: 74.0, Count: 731
Score: 73.0, Count: 946
Score: 72.0, Count: 1401
Score: 71.0, Count: 1852
Score: 70.0, Count: 2195
Score: 69.0, Count: 628
