Score: 100.0, Count: 2
Score: 99.0, Count: 1
Score: 91.0, Count: 16
Score: 90.0, Count: 5
Score: 89.0, Count: 10
Score: 88.0, Count: 5
Score: 87.0, Count: 2
Score: 86.0, Count: 1
Score: 85.0, Count: 12
Score: 84.0, Count: 45
Score: 83.0, Count: 89
Score: 82.0, Count: 83
Score: 81.0, Count: 93
Score: 80.0, Count: 103
Score: 79.0, Count: 125
Score: 78.0, Count: 214
Score: 77.0, Count: 397
Score: 76.0, Count: 416
Score: 75.0, Count: 582
Score: 74.0, Count: 729
Score: 73.0, Count: 977
Score: 72.0, Count: 1313
Score: 71.0, Count: 1888
Score: 70.0, Count: 2248
Score: 69.0, Count: 2696
Score: 68.0, Count: 3301
Score: 67.0, Count: 3814
Score: 66.0, Count: 4105
Score: 65.0, Count: 4184
Score: 64.0, Count: 3784
Score: 63.0, Count: 3390
Score: 62.0, Count: 2377
Score: 61.0, Count: 1589
Score: 60.0, Count: 880
Score: 59.0, Count: 372
Score: 58.0, Count: 113
Score: 57.0, Count: 35
Score: 56.0, Count: 3
Score: 55.0, Count: 1
