Score: 91.0, Count: 14
Score: 90.0, Count: 3
Score: 89.0, Count: 15
Score: 88.0, Count: 10
Score: 87.0, Count: 6
Score: 85.0, Count: 6
Score: 84.0, Count: 43
Score: 83.0, Count: 81
Score: 82.0, Count: 66
Score: 81.0, Count: 88
Score: 80.0, Count: 92
Score: 79.0, Count: 106
Score: 78.0, Count: 211
Score: 77.0, Count: 386
Score: 76.0, Count: 440
Score: 75.0, Count: 593
Score: 74.0, Count: 745
Score: 73.0, Count: 949
Score: 72.0, Count: 1348
Score: 71.0, Count: 1807
Score: 70.0, Count: 2268
Score: 69.0, Count: 2772
Score: 68.0, Count: 3226
Score: 67.0, Count: 3763
Score: 66.0, Count: 4082
Score: 65.0, Count: 4156
Score: 64.0, Count: 3865
Score: 63.0, Count: 3269
Score: 62.0, Count: 2507
Score: 61.0, Count: 1610
Score: 60.0, Count: 906
Score: 59.0, Count: 399
Score: 58.0, Count: 140
Score: 57.0, Count: 25
Score: 56.0, Count: 3
