Score: 91.0, Count: 14
Score: 90.0, Count: 3
Score: 89.0, Count: 15
Score: 88.0, Count: 10
Score: 87.0, Count: 6
Score: 85.0, Count: 6
Score: 84.0, Count: 43
Score: 83.0, Count: 81
Score: 82.0, Count: 66
Score: 81.0, Count: 88
Score: 80.0, Count: 92
Score: 79.0, Count: 106
Score: 78.0, Count: 211
Score: 77.0, Count: 386
Score: 76.0, Count: 440
Score: 75.0, Count: 593
Score: 74.0, Count: 745
Score: 73.0, Count: 949
Score: 72.0, Count: 1348
Score: 71.0, Count: 1807
Score: 70.0, Count: 2268
Score: 69.0, Count: 723
