Score: 100.0, Count: 1
Score: 99.0, Count: 3
Score: 96.0, Count: 1
Score: 91.0, Count: 12
Score: 90.0, Count: 3
Score: 89.0, Count: 14
Score: 88.0, Count: 7
Score: 87.0, Count: 12
Score: 85.0, Count: 3
Score: 84.0, Count: 45
Score: 83.0, Count: 52
Score: 82.0, Count: 73
Score: 81.0, Count: 88
Score: 80.0, Count: 91
Score: 79.0, Count: 124
Score: 78.0, Count: 181
Score: 77.0, Count: 427
Score: 76.0, Count: 452
Score: 75.0, Count: 600
Score: 74.0, Count: 746
Score: 73.0, Count: 978
Score: 72.0, Count: 1309
Score: 71.0, Count: 1881
Score: 70.0, Count: 2193
Score: 69.0, Count: 2677
Score: 68.0, Count: 3321
Score: 67.0, Count: 3834
Score: 66.0, Count: 4052
Score: 65.0, Count: 4165
Score: 64.0, Count: 3781
Score: 63.0, Count: 3274
Score: 62.0, Count: 2507
Score: 61.0, Count: 1709
Score: 60.0, Count: 840
Score: 59.0, Count: 387
Score: 58.0, Count: 121
Score: 57.0, Count: 27
Score: 56.0, Count: 9
