Score: 100.0, Count: 1
Score: 99.0, Count: 3
Score: 96.0, Count: 1
Score: 91.0, Count: 12
Score: 90.0, Count: 3
Score: 89.0, Count: 14
Score: 88.0, Count: 7
Score: 87.0, Count: 12
Score: 85.0, Count: 3
Score: 84.0, Count: 45
Score: 83.0, Count: 52
Score: 82.0, Count: 73
Score: 81.0, Count: 88
Score: 80.0, Count: 91
Score: 79.0, Count: 124
Score: 78.0, Count: 181
Score: 77.0, Count: 427
Score: 76.0, Count: 452
Score: 75.0, Count: 600
Score: 74.0, Count: 746
Score: 73.0, Count: 978
Score: 72.0, Count: 1309
Score: 71.0, Count: 1881
Score: 70.0, Count: 2193
Score: 69.0, Count: 704
